Title,Ratings,Book_format,Price,Cover
Machine Learning Essentials: Practical Guide in R,4.1 out of 5 stars,Paperback,£43.95,https://m.media-amazon.com/images/I/61feLBDLT8L._AC_UY218_.jpg
Practical MLOps: Operationalizing Machine Learning Models,3.9 out of 5 stars,Paperback,£42.39,https://m.media-amazon.com/images/I/81W8SEr-3pL._AC_UY218_.jpg
Machine Learning Pocket Reference: Working with Structured Data in Python,4.5 out of 5 stars,Paperback,£15.30,https://m.media-amazon.com/images/I/61M7dj0fdSL._AC_UY218_.jpg
"Python Machine Learning: Discover the Essentials of Machine Learning, Data Analysis, Data Science, Data Mining and Artificial Intelligence Using Python Code with Python Tricks",4.8 out of 5 stars,Hardcover,£3.05,https://m.media-amazon.com/images/I/71Yn5gbB1HL._AC_UY218_.jpg
"Information Theory, Inference and Learning Algorithms",4.5 out of 5 stars,Hardcover,£42.89,https://m.media-amazon.com/images/I/71OptwbLCjL._AC_UY218_.jpg
Automated Machine Learning in Action,,Paperback,£37.99,https://m.media-amazon.com/images/I/61BwlLaGpKL._AC_UY218_.jpg
Machine Learning and Security: Protecting Systems with Data and Algorithms,4.5 out of 5 stars,Paperback,£34.74,https://m.media-amazon.com/images/I/9148P1E7zcL._AC_UY218_.jpg
Machine Learning for Financial Risk Management with Python: Algorithms for Modeling Risk,4.0 out of 5 stars,Paperback,£41.99,https://m.media-amazon.com/images/I/81a1JpL61IL._AC_UY218_.jpg
Math For Deep Learning: What You Need to Know to Understand Neural Networks,4.0 out of 5 stars,Paperback,£26.63,https://m.media-amazon.com/images/I/810IISMn0mS._AC_UY218_.jpg
"Machine Learning with TensorFlow, Second Edition",5.0 out of 5 stars,Paperback,£31.39,https://m.media-amazon.com/images/I/3131Pc32AdL._AC_UY218_.jpg
"Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots, robotics, discrete optimization, web automation, and more, 2nd Edition",4.5 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/71iHMXSARIL._AC_UY218_.jpg
"Awesome Machine Learning Engineer I Survived 2020: Funny Quarantine Toilet Paper Gift Notebook for Coworker, Appreciation, Birthday │ Blank Ruled Writing Journal Diary 6x9",,Paperback,£5.99,https://m.media-amazon.com/images/I/71GYjYfDFlL._AC_UY218_.jpg
Practical Machine Learning with Python: A Problem-Solver's Guide to Building Real-World Intelligent Systems,5.0 out of 5 stars,Paperback,£44.99,https://m.media-amazon.com/images/I/61opp+l4zOL._AC_UY218_.jpg
Empowering Artificial Intelligence Through Machine Learning: New Advances and Applications,,Kindle Edition,£100.07,https://m.media-amazon.com/images/I/71PppJd39BL._AC_UY218_.jpg
